venue,venue_type,year,session,event_type,event_name,timestamp,subject,fps,s3_path
TEX,collegiate,2025,2025_03_02_10_53_23,Batting,2025_03_02_12_36_22_Ohio_State_Buckeyes_2_Trey_Lipsey_Home,2025_03_02_12_36_22,Ohio_State_Buckeyes_2_Trey_Lipsey_Home,300,Data/TEX/2025/2025_03_02_10_53_23/Batting/2025_03_02_12_36_22_Ohio_State_Buckeyes_2_Trey_Lipsey_Home
TEX,collegiate,2025,2025_03_02_10_53_23,Batting,2025_03_02_13_07_51_Ohio_State_Buckeyes_11_Marc_Stephens_Home,2025_03_02_13_07_51,Ohio_State_Buckeyes_11_Marc_Stephens_Home,300,Data/TEX/2025/2025_03_02_10_53_23/Batting/2025_03_02_13_07_51_Ohio_State_Buckeyes_11_Marc_Stephens_Home
TBR,mlb,2025,2025_03_26_16_22_45,Batting,2025_03_26_16_54_20_Tampa_Bay_Rays_8_Brandon_Lowe_Home,2025_03_26_16_54_20,Tampa_Bay_Rays_8_Brandon_Lowe_Home,300,Data/TBR/2025/2025_03_26_16_22_45/Batting/2025_03_26_16_54_20_Tampa_Bay_Rays_8_Brandon_Lowe_Home
TBR,mlb,2025,2025_03_26_16_22_45,Batting,2025_03_26_17_21_11_Tampa_Bay_Rays_19_Danny_Jansen_Home,2025_03_26_17_21_11,Tampa_Bay_Rays_19_Danny_Jansen_Home,300,Data/TBR/2025/2025_03_26_16_22_45/Batting/2025_03_26_17_21_11_Tampa_Bay_Rays_19_Danny_Jansen_Home
TBR,mlb,2025,2025_03_26_16_22_45,Batting,2025_03_26_17_27_16_Tampa_Bay_Rays_2_Yandy_Diaz_Home,2025_03_26_17_27_16,Tampa_Bay_Rays_2_Yandy_Diaz_Home,300,Data/TBR/2025/2025_03_26_16_22_45/Batting/2025_03_26_17_27_16_Tampa_Bay_Rays_2_Yandy_Diaz_Home
TBR,mlb,2025,2025_03_26_16_22_45,Batting,2025_03_26_17_39_08_Tampa_Bay_Rays_6_Taylor_Walls_Home,2025_03_26_17_39_08,Tampa_Bay_Rays_6_Taylor_Walls_Home,300,Data/TBR/2025/2025_03_26_16_22_45/Batting/2025_03_26_17_39_08_Tampa_Bay_Rays_6_Taylor_Walls_Home
SEA,mlb,2025,2025_03_27_12_16_20,Batting,2025_03_27_19_18_20_Seattle_Mariners_10_Victor_Robles_Home,2025_03_27_19_18_20,Seattle_Mariners_10_Victor_Robles_Home,300,Data/SEA/2025/2025_03_27_12_16_20/Batting/2025_03_27_19_18_20_Seattle_Mariners_10_Victor_Robles_Home
SEA,mlb,2025,2025_03_27_12_16_20,Batting,2025_03_27_19_18_49_Seattle_Mariners_44_Julio_Rodriguez_Home,2025_03_27_19_18_49,Seattle_Mariners_44_Julio_Rodriguez_Home,300,Data/SEA/2025/2025_03_27_12_16_20/Batting/2025_03_27_19_18_49_Seattle_Mariners_44_Julio_Rodriguez_Home
SEA,mlb,2025,2025_03_27_12_16_20,Batting,2025_03_27_19_21_16_Seattle_Mariners_29_Cal_Raleigh_Home,2025_03_27_19_21_16,Seattle_Mariners_29_Cal_Raleigh_Home,300,Data/SEA/2025/2025_03_27_12_16_20/Batting/2025_03_27_19_21_16_Seattle_Mariners_29_Cal_Raleigh_Home
SEA,mlb,2025,2025_03_27_12_16_20,Batting,2025_03_27_19_22_55_Seattle_Mariners_56_Randy_Arozarena_Home,2025_03_27_19_22_55,Seattle_Mariners_56_Randy_Arozarena_Home,300,Data/SEA/2025/2025_03_27_12_16_20/Batting/2025_03_27_19_22_55_Seattle_Mariners_56_Randy_Arozarena_Home
SEA,mlb,2025,2025_03_27_12_16_20,Batting,2025_03_27_19_32_26_Seattle_Mariners_7_Jorge_Polanco_Home,2025_03_27_19_32_26,Seattle_Mariners_7_Jorge_Polanco_Home,300,Data/SEA/2025/2025_03_27_12_16_20/Batting/2025_03_27_19_32_26_Seattle_Mariners_7_Jorge_Polanco_Home
SEA,mlb,2025,2025_03_27_12_16_20,Batting,2025_03_27_21_12_10_Seattle_Mariners_20_Luke_Raley_Home,2025_03_27_21_12_10,Seattle_Mariners_20_Luke_Raley_Home,300,Data/SEA/2025/2025_03_27_12_16_20/Batting/2025_03_27_21_12_10_Seattle_Mariners_20_Luke_Raley_Home
SEA,mlb,2025,2025_03_27_12_16_20,Batting,2025_03_27_21_19_38_Seattle_Mariners_23_Rowdy_Tellez_Home,2025_03_27_21_19_38,Seattle_Mariners_23_Rowdy_Tellez_Home,300,Data/SEA/2025/2025_03_27_12_16_20/Batting/2025_03_27_21_19_38_Seattle_Mariners_23_Rowdy_Tellez_Home
SEA,mlb,2025,2025_03_27_12_16_20,Batting,2025_03_27_21_20_46_Seattle_Mariners_1_Ryan_Bliss_Home,2025_03_27_21_20_46,Seattle_Mariners_1_Ryan_Bliss_Home,300,Data/SEA/2025/2025_03_27_12_16_20/Batting/2025_03_27_21_20_46_Seattle_Mariners_1_Ryan_Bliss_Home
CIN,mlb,2025,2025_04_02_11_18_30,Batting,2025_04_02_13_11_07_Texas_Rangers_20_Ezequiel_Duran_ALT2,2025_04_02_13_11_07,Texas_Rangers_20_Ezequiel_Duran_ALT2,300,Data/CIN/2025/2025_04_02_11_18_30/Batting/2025_04_02_13_11_07_Texas_Rangers_20_Ezequiel_Duran_ALT2
CIN,mlb,2025,2025_04_02_11_18_30,Batting,2025_04_02_13_43_30_Texas_Rangers_20_Ezequiel_Duran_ALT2,2025_04_02_13_43_30,Texas_Rangers_20_Ezequiel_Duran_ALT2,300,Data/CIN/2025/2025_04_02_11_18_30/Batting/2025_04_02_13_43_30_Texas_Rangers_20_Ezequiel_Duran_ALT2
CIN,mlb,2025,2025_04_02_11_18_30,Batting,2025_04_02_13_56_10_Texas_Rangers_53_Adolis_Garcia_ALT2,2025_04_02_13_56_10,Texas_Rangers_53_Adolis_Garcia_ALT2,300,Data/CIN/2025/2025_04_02_11_18_30/Batting/2025_04_02_13_56_10_Texas_Rangers_53_Adolis_Garcia_ALT2
PHI,mlb,2025,2025_04_05_15_06_27,Batting,2025_04_05_16_21_18_Philadelphia_Phillies_17_Max_Kepler_ALT1,2025_04_05_16_21_18,Philadelphia_Phillies_17_Max_Kepler_ALT1,600,Data/PHI/2025/2025_04_05_15_06_27/Batting/2025_04_05_16_21_18_Philadelphia_Phillies_17_Max_Kepler_ALT1
PHI,mlb,2025,2025_04_05_15_06_27,Batting,2025_04_05_16_25_17_Los_Angeles_Dodgers_13_Max_Muncy_ALT,2025_04_05_16_25_17,Los_Angeles_Dodgers_13_Max_Muncy_ALT,600,Data/PHI/2025/2025_04_05_15_06_27/Batting/2025_04_05_16_25_17_Los_Angeles_Dodgers_13_Max_Muncy_ALT
PHI,mlb,2025,2025_04_05_15_06_27,Batting,2025_04_05_17_11_25_Philadelphia_Phillies_8_Nick_Castellanos_ALT1,2025_04_05_17_11_25,Philadelphia_Phillies_8_Nick_Castellanos_ALT1,600,Data/PHI/2025/2025_04_05_15_06_27/Batting/2025_04_05_17_11_25_Philadelphia_Phillies_8_Nick_Castellanos_ALT1
NYM,mlb,2025,2025_04_06_13_17_24,Batting,2025_04_06_13_58_25_Toronto_Blue_Jays_22_Ernie_Clement_Home,2025_04_06_13_58_25,Toronto_Blue_Jays_22_Ernie_Clement_Home,300,Data/NYM/2025/2025_04_06_13_17_24/Batting/2025_04_06_13_58_25_Toronto_Blue_Jays_22_Ernie_Clement_Home
NYM,mlb,2025,2025_04_06_13_17_24,Batting,2025_04_06_14_02_33_Toronto_Blue_Jays_55_Tyler_Heineman_Home,2025_04_06_14_02_33,Toronto_Blue_Jays_55_Tyler_Heineman_Home,300,Data/NYM/2025/2025_04_06_13_17_24/Batting/2025_04_06_14_02_33_Toronto_Blue_Jays_55_Tyler_Heineman_Home
NYM,mlb,2025,2025_04_06_13_17_24,Batting,2025_04_06_14_41_13_New_York_Mets_27_Mark_Vientos_Home,2025_04_06_14_41_13,New_York_Mets_27_Mark_Vientos_Home,300,Data/NYM/2025/2025_04_06_13_17_24/Batting/2025_04_06_14_41_13_New_York_Mets_27_Mark_Vientos_Home
NYM,mlb,2025,2025_04_06_13_17_24,Batting,2025_04_06_14_56_57_Toronto_Blue_Jays_25_Anthony_Santander_Home,2025_04_06_14_56_57,Toronto_Blue_Jays_25_Anthony_Santander_Home,300,Data/NYM/2025/2025_04_06_13_17_24/Batting/2025_04_06_14_56_57_Toronto_Blue_Jays_25_Anthony_Santander_Home
APP,collegiate,2025,2025_04_08_12_20_25,Pitching,2025_04_08_12_45_06_Appalachian_State_Baseball_37_Caleb_Cross_Home,2025_04_08_12_45_06,Appalachian_State_Baseball_37_Caleb_Cross_Home,300,Data/APP/2025/2025_04_08_12_20_25/Pitching/2025_04_08_12_45_06_Appalachian_State_Baseball_37_Caleb_Cross_Home
APP,collegiate,2025,2025_04_08_12_20_25,Pitching,2025_04_08_12_45_42_Appalachian_State_Baseball_37_Caleb_Cross_Home,2025_04_08_12_45_42,Appalachian_State_Baseball_37_Caleb_Cross_Home,300,Data/APP/2025/2025_04_08_12_20_25/Pitching/2025_04_08_12_45_42_Appalachian_State_Baseball_37_Caleb_Cross_Home
APP,collegiate,2025,2025_04_08_12_20_25,Pitching,2025_04_08_12_49_00_Appalachian_State_Baseball_37_Caleb_Cross_Home,2025_04_08_12_49_00,Appalachian_State_Baseball_37_Caleb_Cross_Home,300,Data/APP/2025/2025_04_08_12_20_25/Pitching/2025_04_08_12_49_00_Appalachian_State_Baseball_37_Caleb_Cross_Home
APP,collegiate,2025,2025_04_08_12_20_25,Pitching,2025_04_08_12_50_12_Appalachian_State_Baseball_37_Caleb_Cross_Home,2025_04_08_12_50_12,Appalachian_State_Baseball_37_Caleb_Cross_Home,300,Data/APP/2025/2025_04_08_12_20_25/Pitching/2025_04_08_12_50_12_Appalachian_State_Baseball_37_Caleb_Cross_Home
SEA,mlb,2025,2025_04_11_18_15_08,Batting,2025_04_11_18_58_46_Seattle_Mariners_29_Cal_Raleigh_Home,2025_04_11_18_58_46,Seattle_Mariners_29_Cal_Raleigh_Home,300,Data/SEA/2025/2025_04_11_18_15_08/Batting/2025_04_11_18_58_46_Seattle_Mariners_29_Cal_Raleigh_Home
SEA,mlb,2025,2025_04_11_18_15_08,Batting,2025_04_11_19_12_21_Seattle_Mariners_20_Luke_Raley_Home,2025_04_11_19_12_21,Seattle_Mariners_20_Luke_Raley_Home,300,Data/SEA/2025/2025_04_11_18_15_08/Batting/2025_04_11_19_12_21_Seattle_Mariners_20_Luke_Raley_Home
SEA,mlb,2025,2025_04_11_18_15_08,Batting,2025_04_11_21_09_01_Texas_Rangers_28_Jonah_Heim_Home,2025_04_11_21_09_01,Texas_Rangers_28_Jonah_Heim_Home,300,Data/SEA/2025/2025_04_11_18_15_08/Batting/2025_04_11_21_09_01_Texas_Rangers_28_Jonah_Heim_Home
TBR,mlb,2025,2025_04_30_17_15_31,Batting,2025_04_30_20_17_04_Kansas_City_Royals_8_Drew_Waters_Away,2025_04_30_20_17_04,Kansas_City_Royals_8_Drew_Waters_Away,300,Data/TBR/2025/2025_04_30_17_15_31/Batting/2025_04_30_20_17_04_Kansas_City_Royals_8_Drew_Waters_Away
TBR,mlb,2025,2025_04_30_17_15_31,Batting,2025_04_30_21_27_21_Tampa_Bay_Rays_14_Chandler_Simpson_Home,2025_04_30_21_27_21,Tampa_Bay_Rays_14_Chandler_Simpson_Home,300,Data/TBR/2025/2025_04_30_17_15_31/Batting/2025_04_30_21_27_21_Tampa_Bay_Rays_14_Chandler_Simpson_Home
TEN,collegiate,2025,2025_05_04_14_52_34,Batting,2025_05_04_15_21_23_Rocket_City_Trash_Pandas__24_Cole_Fontenelle_Away,2025_05_04_15_21_23,Rocket_City_Trash_Pandas__24_Cole_Fontenelle_Away,600,Data/TEN/2025/2025_05_04_14_52_34/Batting/2025_05_04_15_21_23_Rocket_City_Trash_Pandas__24_Cole_Fontenelle_Away
TEN,collegiate,2025,2025_05_04_14_52_34,Batting,2025_05_04_16_56_46_Knoxville_Smokies_9_Ethan_Hearn_Home,2025_05_04_16_56_46,Knoxville_Smokies_9_Ethan_Hearn_Home,600,Data/TEN/2025/2025_05_04_14_52_34/Batting/2025_05_04_16_56_46_Knoxville_Smokies_9_Ethan_Hearn_Home
TEN,collegiate,2025,2025_05_04_14_52_34,Batting,2025_05_04_16_57_46_Knoxville_Smokies_6_Jaylen_Palmer_Home,2025_05_04_16_57_46,Knoxville_Smokies_6_Jaylen_Palmer_Home,600,Data/TEN/2025/2025_05_04_14_52_34/Batting/2025_05_04_16_57_46_Knoxville_Smokies_6_Jaylen_Palmer_Home
TEN,collegiate,2025,2025_05_04_14_52_34,Batting,2025_05_04_17_09_03_Rocket_City_Trash_Pandas__11_Denzer_Guzman_Away,2025_05_04_17_09_03,Rocket_City_Trash_Pandas__11_Denzer_Guzman_Away,600,Data/TEN/2025/2025_05_04_14_52_34/Batting/2025_05_04_17_09_03_Rocket_City_Trash_Pandas__11_Denzer_Guzman_Away
PHI,mlb,2025,2025_05_16_17_36_47,Batting,2025_05_16_20_38_43_Philadelphia_Phillies_7_Trea_Turner_ALT3,2025_05_16_20_38_43,Philadelphia_Phillies_7_Trea_Turner_ALT3,600,Data/PHI/2025/2025_05_16_17_36_47/Batting/2025_05_16_20_38_43_Philadelphia_Phillies_7_Trea_Turner_ALT3
PHI,mlb,2025,2025_05_16_17_36_47,Batting,2025_05_16_21_32_36_Philadelphia_Phillies_10_JT_Realmuto_ALT3,2025_05_16_21_32_36,Philadelphia_Phillies_10_JT_Realmuto_ALT3,600,Data/PHI/2025/2025_05_16_17_36_47/Batting/2025_05_16_21_32_36_Philadelphia_Phillies_10_JT_Realmuto_ALT3
PHI,mlb,2025,2025_05_16_17_36_47,Batting,2025_05_16_23_09_35_Pittsburgh_Pirates_29_Alexander_Canario_Away,2025_05_16_23_09_35,Pittsburgh_Pirates_29_Alexander_Canario_Away,600,Data/PHI/2025/2025_05_16_17_36_47/Batting/2025_05_16_23_09_35_Pittsburgh_Pirates_29_Alexander_Canario_Away
PHI,mlb,2025,2025_05_16_17_36_47,Batting,2025_05_16_23_16_39_Pittsburgh_Pirates_62_Matt_Gorski_Away,2025_05_16_23_16_39,Pittsburgh_Pirates_62_Matt_Gorski_Away,600,Data/PHI/2025/2025_05_16_17_36_47/Batting/2025_05_16_23_16_39_Pittsburgh_Pirates_62_Matt_Gorski_Away
TEN,collegiate,2025,2025_05_17_17_09_31,Batting,2025_05_17_20_11_50_Columbus_Clingstones_9_Kevin_Kilpatrick_Jr_Road,2025_05_17_20_11_50,Columbus_Clingstones_9_Kevin_Kilpatrick_Jr_Road,600,Data/TEN/2025/2025_05_17_17_09_31/Batting/2025_05_17_20_11_50_Columbus_Clingstones_9_Kevin_Kilpatrick_Jr_Road
TEN,collegiate,2025,2025_05_17_17_09_31,Batting,2025_05_17_20_31_58_Columbus_Clingstones_7_Ethan_Workinger_Road,2025_05_17_20_31_58,Columbus_Clingstones_7_Ethan_Workinger_Road,600,Data/TEN/2025/2025_05_17_17_09_31/Batting/2025_05_17_20_31_58_Columbus_Clingstones_7_Ethan_Workinger_Road
TEN,collegiate,2025,2025_05_17_17_09_31,Batting,2025_05_17_21_28_35_Columbus_Clingstones_34_Adam_Zebrowski_Road,2025_05_17_21_28_35,Columbus_Clingstones_34_Adam_Zebrowski_Road,600,Data/TEN/2025/2025_05_17_17_09_31/Batting/2025_05_17_21_28_35_Columbus_Clingstones_34_Adam_Zebrowski_Road
CIN,mlb,2025,2025_06_19_11_21_35,Batting,2025_06_19_13_44_59_Minnesota_Twins_50_Willi_Castro_Home,2025_06_19_13_44_59,Minnesota_Twins_50_Willi_Castro_Home,300,Data/CIN/2025/2025_06_19_11_21_35/Batting/2025_06_19_13_44_59_Minnesota_Twins_50_Willi_Castro_Home
CIN,mlb,2025,2025_06_19_11_21_35,Batting,2025_06_19_13_57_17_Minnesota_Twins_2_Brooks_Lee_Home,2025_06_19_13_57_17,Minnesota_Twins_2_Brooks_Lee_Home,300,Data/CIN/2025/2025_06_19_11_21_35/Batting/2025_06_19_13_57_17_Minnesota_Twins_2_Brooks_Lee_Home
CIN,mlb,2025,2025_06_19_11_21_35,Batting,2025_06_19_14_49_40_Minnesota_Twins_9_Trevor_Larnach_Home,2025_06_19_14_49_40,Minnesota_Twins_9_Trevor_Larnach_Home,300,Data/CIN/2025/2025_06_19_11_21_35/Batting/2025_06_19_14_49_40_Minnesota_Twins_9_Trevor_Larnach_Home
CIN,mlb,2025,2025_06_19_11_21_35,Batting,2025_06_19_15_42_12_Cincinnati_Reds_9_Matt_McLain_Home,2025_06_19_15_42_12,Cincinnati_Reds_9_Matt_McLain_Home,300,Data/CIN/2025/2025_06_19_11_21_35/Batting/2025_06_19_15_42_12_Cincinnati_Reds_9_Matt_McLain_Home
NYM,mlb,2025,2025_08_31_13_18_43,Batting,2025_08_31_14_28_03_New_York_Mets_28_Cedric_Mullins_Home,2025_08_31_14_28_03,New_York_Mets_28_Cedric_Mullins_Home,300,Data/NYM/2025/2025_08_31_13_18_43/Batting/2025_08_31_14_28_03_New_York_Mets_28_Cedric_Mullins_Home
NYM,mlb,2025,2025_08_31_13_18_43,Batting,2025_08_31_15_24_31_New_York_Mets_9_Brandon_Nimmo_Home,2025_08_31_15_24_31,New_York_Mets_9_Brandon_Nimmo_Home,300,Data/NYM/2025/2025_08_31_13_18_43/Batting/2025_08_31_15_24_31_New_York_Mets_9_Brandon_Nimmo_Home
NYM,mlb,2025,2025_08_31_13_18_43,Batting,2025_08_31_15_29_00_New_York_Mets_20_Pete_Alonso_Home,2025_08_31_15_29_00,New_York_Mets_20_Pete_Alonso_Home,300,Data/NYM/2025/2025_08_31_13_18_43/Batting/2025_08_31_15_29_00_New_York_Mets_20_Pete_Alonso_Home
CGL,collegiate,2025,2025_09_12_09_12_04,Batting,2025_09_12_10_07_15_Cincinnati_Reds_17_Alexander_Vargas_Home,2025_09_12_10_07_15,Cincinnati_Reds_17_Alexander_Vargas_Home,300,Data/CGL/2025/2025_09_12_09_12_04/Batting/2025_09_12_10_07_15_Cincinnati_Reds_17_Alexander_Vargas_Home
CGL,collegiate,2025,2025_09_12_09_12_04,Batting,2025_09_12_10_15_44_Cincinnati_Reds_17_Alexander_Vargas_Home,2025_09_12_10_15_44,Cincinnati_Reds_17_Alexander_Vargas_Home,300,Data/CGL/2025/2025_09_12_09_12_04/Batting/2025_09_12_10_15_44_Cincinnati_Reds_17_Alexander_Vargas_Home
CGL,collegiate,2025,2025_09_12_09_12_04,Batting,2025_09_12_10_18_53_Cincinnati_Reds_17_Alexander_Vargas_Home,2025_09_12_10_18_53,Cincinnati_Reds_17_Alexander_Vargas_Home,300,Data/CGL/2025/2025_09_12_09_12_04/Batting/2025_09_12_10_18_53_Cincinnati_Reds_17_Alexander_Vargas_Home
CLE,mlb,2025,2025_09_23_17_00_10,Batting,2025_09_23_19_23_24_Detroit_Tigers_30_Kerry_Carpenter_Away,2025_09_23_19_23_24,Detroit_Tigers_30_Kerry_Carpenter_Away,300,Data/CLE/2025/2025_09_23_17_00_10/Batting/2025_09_23_19_23_24_Detroit_Tigers_30_Kerry_Carpenter_Away
CLE,mlb,2025,2025_09_23_17_00_10,Batting,2025_09_23_20_14_45_Cleveland_Guardians_35_George_Valera_Away,2025_09_23_20_14_45,Cleveland_Guardians_35_George_Valera_Away,300,Data/CLE/2025/2025_09_23_17_00_10/Batting/2025_09_23_20_14_45_Cleveland_Guardians_35_George_Valera_Away
CLE,mlb,2025,2025_09_23_17_00_10,Batting,2025_09_23_20_48_51_Detroit_Tigers_25_Gleyber_Torres_Away,2025_09_23_20_48_51,Detroit_Tigers_25_Gleyber_Torres_Away,300,Data/CLE/2025/2025_09_23_17_00_10/Batting/2025_09_23_20_48_51_Detroit_Tigers_25_Gleyber_Torres_Away
CLE,mlb,2025,2025_09_26_18_04_13,Batting,2025_09_26_19_57_05_Texas_Rangers_6_Josh_Jung_Away,2025_09_26_19_57_05,Texas_Rangers_6_Josh_Jung_Away,600,Data/CLE/2025/2025_09_26_18_04_13/Batting/2025_09_26_19_57_05_Texas_Rangers_6_Josh_Jung_Away
CLE,mlb,2025,2025_09_26_18_04_13,Batting,2025_09_26_20_18_49_Texas_Rangers_24_Michael_Helman_Away,2025_09_26_20_18_49,Texas_Rangers_24_Michael_Helman_Away,600,Data/CLE/2025/2025_09_26_18_04_13/Batting/2025_09_26_20_18_49_Texas_Rangers_24_Michael_Helman_Away
