event_name,event_type,sdk_version,onprem_time_sec,onprem_exit_code,onprem_gpu,cloud_time_sec,cloud_exit_code,cloud_gpu,cloud_onprem_ratio,time_diff_sec,fps_category,is_pilot_event
2024_03_17_16_26_55_Arizona_State_Sun_Devils_8_Steven_Ondina_Away,batting,6.4.0,457.2,0,RTX_4000_Ada,1004.4,0,Tesla_T4,2.197,547.2,300,no
2024_03_17_16_27_14_Arizona_State_Sun_Devils_8_Steven_Ondina_Away,batting,6.4.0,460.9,0,RTX_4000_Ada,1005.2,0,Tesla_T4,2.181,544.3,300,no
2024_03_17_16_49_42_University_of_Arizona_11_Emilio_Corona_Home,batting,6.4.0,446.8,0,RTX_4000_Ada,1001.7,0,Tesla_T4,2.242,554.9,300,no
2024_03_17_17_11_41_Arizona_State_Sun_Devils_9_Kevin_Karstetter_Away,batting,6.4.1,456.5,0,RTX_4000_Ada,1093.4,0,Tesla_T4,2.395,636.9,300,yes
2024_03_17_18_06_19_University_of_Arizona_7_Richie_Morales_Home,batting,6.4.0,459.9,0,RTX_4000_Ada,1036.1,0,Tesla_T4,2.253,576.2,300,yes
2024_03_30_13_07_47_University_of_Arizona_38_Cam_Walty_Home,pitching,6.4.0,876.6,0,RTX_4000_Ada,2024.2,0,Tesla_T4,2.309,1147.6,300,no
2024_03_30_13_18_04_University_of_Arizona_24_Mason_White_Home,batting,6.4.0,430.3,0,RTX_4000_Ada,991.9,0,Tesla_T4,2.305,561.6,300,no
2024_03_30_13_27_25_UCLA_Bruins_19_Landon_Stump_Away,pitching,6.4.0,349.5,0,RTX_4000_Ada,756.1,0,Tesla_T4,2.163,406.6,300,no
2024_03_30_13_28_51_University_of_Arizona_18_Adonys_Guzman_Home,batting,6.4.0,437.8,0,RTX_4000_Ada,982.4,0,Tesla_T4,2.244,544.6,300,no
2024_03_30_15_55_08_UCLA_Bruins_24_Malakhi_Knight_Away,batting,6.4.0,463.6,0,RTX_4000_Ada,1063.8,0,Tesla_T4,2.295,600.2,300,no
2024_03_30_16_31_32_UCLA_Bruins_50_Rashad_Ruff_Away,pitching,6.4.0,529.7,0,RTX_4000_Ada,1188.0,0,Tesla_T4,2.243,658.3,300,no
2024_03_30_17_19_38_University_of_Arizona_2_Blake_McDonald_Home,batting,6.4.0,490.9,0,RTX_4000_Ada,1076.8,0,Tesla_T4,2.194,585.9,300,no
2024_04_29_18_40_30_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,443.7,0,RTX_4000_Ada,882.6,0,Tesla_T4,1.989,438.9,300,no
2024_04_29_18_40_30_Pittsburgh_Pirates_13_KeBryan_Hayes_Away,batting,6.3.9,273.8,0,RTX_4000_Ada,567.2,0,Tesla_T4,2.072,293.4,600,yes
2024_04_29_18_40_43_Pittsburgh_Pirates_13_KeBryan_Hayes_Away,batting,6.3.9,246.1,0,RTX_4000_Ada,507.1,0,Tesla_T4,2.061,261.0,600,no
2024_04_29_18_41_03_Pittsburgh_Pirates_13_KeBryan_Hayes_Away,batting,6.3.9,259.9,0,RTX_4000_Ada,488.0,0,Tesla_T4,1.878,228.1,600,no
2024_04_29_18_41_25_Pittsburgh_Pirates_13_KeBryan_Hayes_Away,batting,6.3.9,297.4,0,RTX_4000_Ada,558.2,0,Tesla_T4,1.877,260.8,600,no
2024_04_29_18_41_39_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,455.6,0,RTX_4000_Ada,796.0,0,Tesla_T4,1.747,340.4,300,no
2024_04_29_18_41_39_Pittsburgh_Pirates_13_KeBryan_Hayes_Away,batting,6.3.9,270.0,0,RTX_4000_Ada,504.5,0,Tesla_T4,1.869,234.5,600,no
2024_04_29_18_42_06_Pittsburgh_Pirates_10_Bryan_Reynolds_Away,batting,6.3.9,405.2,0,RTX_4000_Ada,759.0,0,Tesla_T4,1.873,353.8,600,yes
2024_04_29_18_42_27_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,571.3,0,RTX_4000_Ada,992.5,0,Tesla_T4,1.737,421.2,300,no
2024_04_29_18_42_27_Pittsburgh_Pirates_10_Bryan_Reynolds_Away,batting,6.3.9,366.4,0,RTX_4000_Ada,678.5,0,Tesla_T4,1.852,312.1,600,no
2024_04_29_18_42_46_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,523.4,0,RTX_4000_Ada,959.1,0,Tesla_T4,1.832,435.7,300,no
2024_04_29_18_42_46_Pittsburgh_Pirates_10_Bryan_Reynolds_Away,batting,6.3.9,350.9,0,RTX_4000_Ada,675.8,0,Tesla_T4,1.926,324.9,600,no
2024_04_29_18_43_36_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,539.9,0,RTX_4000_Ada,999.0,0,Tesla_T4,1.85,459.1,300,no
2024_04_29_18_43_36_Pittsburgh_Pirates_10_Bryan_Reynolds_Away,batting,6.3.9,358.3,0,RTX_4000_Ada,693.3,0,Tesla_T4,1.935,335.0,600,no
2024_04_29_18_44_11_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,509.5,0,RTX_4000_Ada,951.5,0,Tesla_T4,1.868,442.0,300,no
2024_04_29_18_44_11_Pittsburgh_Pirates_15_Oneil_Cruz_Away,batting,6.3.9,321.4,0,RTX_4000_Ada,619.8,0,Tesla_T4,1.928,298.4,600,no
2024_04_29_18_44_27_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,1617.8,0,RTX_4000_Ada,3113.7,0,Tesla_T4,1.925,1495.9,300,yes
2024_04_29_18_45_07_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,482.7,0,RTX_4000_Ada,904.1,0,Tesla_T4,1.873,421.4,300,no
2024_04_29_18_45_07_Pittsburgh_Pirates_22_Andrew_McCutchen_Away,batting,6.3.9,299.0,0,RTX_4000_Ada,587.1,0,Tesla_T4,1.964,288.1,600,no
2024_04_29_18_45_20_Pittsburgh_Pirates_22_Andrew_McCutchen_Away,batting,6.3.9,226.5,0,RTX_4000_Ada,424.0,0,Tesla_T4,1.872,197.5,600,no
2024_04_29_18_45_23_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,549.7,0,RTX_4000_Ada,1035.5,0,Tesla_T4,1.884,485.8,300,no
2024_04_29_18_45_23_Pittsburgh_Pirates_22_Andrew_McCutchen_Away,batting,6.3.9,368.6,0,RTX_4000_Ada,730.6,0,Tesla_T4,1.982,362.0,600,no
2024_04_29_18_45_43_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,477.3,0,RTX_4000_Ada,879.1,0,Tesla_T4,1.842,401.8,300,yes
2024_04_29_18_45_43_Pittsburgh_Pirates_22_Andrew_McCutchen_Away,batting,6.3.9,306.9,0,RTX_4000_Ada,594.8,0,Tesla_T4,1.938,287.9,600,no
2024_04_29_18_46_04_Pittsburgh_Pirates_22_Andrew_McCutchen_Away,batting,6.3.9,327.3,0,RTX_4000_Ada,655.2,0,Tesla_T4,2.002,327.9,600,no
2024_04_29_18_46_28_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,540.4,0,RTX_4000_Ada,984.4,0,Tesla_T4,1.822,444.0,300,no
2024_04_29_18_47_31_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,445.0,0,RTX_4000_Ada,786.9,0,Tesla_T4,1.768,341.9,300,no
2024_04_29_18_48_15_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,399.2,0,RTX_4000_Ada,756.2,0,Tesla_T4,1.894,357.0,300,yes
2024_04_29_18_48_31_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,422.4,0,RTX_4000_Ada,769.6,0,Tesla_T4,1.822,347.2,300,no
2024_04_29_18_48_58_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,477.1,0,RTX_4000_Ada,883.8,0,Tesla_T4,1.852,406.7,300,no
2024_04_29_18_49_18_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,521.9,0,RTX_4000_Ada,940.8,0,Tesla_T4,1.803,418.9,300,no
2024_04_29_18_50_07_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,436.0,0,RTX_4000_Ada,775.1,0,Tesla_T4,1.778,339.1,300,no
2024_04_29_18_52_36_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,521.3,0,RTX_4000_Ada,944.1,0,Tesla_T4,1.811,422.8,600,no
2024_04_29_18_52_51_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,621.4,0,RTX_4000_Ada,1134.9,0,Tesla_T4,1.826,513.5,600,no
2024_04_29_18_53_09_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,565.1,0,RTX_4000_Ada,1006.8,0,Tesla_T4,1.782,441.7,600,no
2024_04_29_18_53_42_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,608.2,0,RTX_4000_Ada,1136.0,0,Tesla_T4,1.868,527.8,600,no
