event_name,venue,venue_type,event_type,gpu_model,processing_time_sec,exit_code,c3d_valid,c3d_size_bytes,timestamp
2025_01_30_16_16_14_Rice_Pitching_Lab_30_Jake_Mader-Cooper_Home,RUP,collegiate,Pitching,RTX_4000_Ada,63.7,139,true,2223104,2026-02-04 10:42:08
2025_01_30_16_16_30_Rice_Pitching_Lab_30_Jake_Mader-Cooper_Home,RUP,collegiate,Pitching,RTX_4000_Ada,44.9,139,true,1339392,2026-02-04 10:42:53
2025_03_02_11_54_03_Oregon_State_Beavers_24_Ethan_Kleinschmit_Home,unknown,unknown,unknown,RTX_4000_Ada,54.3,139,true,949760,2026-02-04 10:43:47
2025_03_02_12_13_55_Oregon_State_Beavers_24_Ethan_Kleinschmit_Home,unknown,unknown,unknown,RTX_4000_Ada,68.3,139,true,1354752,2026-02-04 10:44:55
2025_03_02_13_50_03_Oregon_State_Beavers_50_Zach_Edwards_Home,unknown,unknown,unknown,RTX_4000_Ada,65.6,139,true,1047040,2026-02-04 10:46:01
2025_03_02_14_19_45_Ohio_State_Buckeyes_25_Luke_Carrell_Home,unknown,unknown,unknown,RTX_4000_Ada,58.7,139,true,1369088,2026-02-04 10:46:59
2025_03_26_17_13_57_Tampa_Bay_Rays_57_Drew_Rasmussen_Home,unknown,unknown,unknown,RTX_4000_Ada,99.5,139,true,2372608,2026-02-04 10:48:39
2025_03_26_17_27_16_Tampa_Bay_Rays_39_Manuel_Rodriguez_Home,unknown,unknown,unknown,RTX_4000_Ada,67.8,139,true,1526272,2026-02-04 10:49:47
2025_03_26_17_50_51_Tampa_Bay_Rays_11_Shane_Baz_Home,unknown,unknown,unknown,RTX_4000_Ada,78.9,139,true,1074688,2026-02-04 10:51:06
2025_03_26_18_06_27_Tampa_Bay_Rays_11_Shane_Baz_Home,unknown,unknown,unknown,RTX_4000_Ada,94.3,139,true,1204736,2026-02-04 10:52:40
2025_03_27_19_18_20_Seattle_Mariners_10_Victor_Robles_Home,SEA,mlb,Batting,RTX_4000_Ada,473.0,0,true,1416192,2026-02-04 11:00:33
2025_03_27_19_18_49_Seattle_Mariners_44_Julio_Rodriguez_Home,SEA,mlb,Batting,RTX_4000_Ada,491.9,0,true,1548288,2026-02-04 11:08:45
2025_03_27_19_21_16_Seattle_Mariners_29_Cal_Raleigh_Home,SEA,mlb,Batting,RTX_4000_Ada,473.0,0,true,1256448,2026-02-04 11:16:38
2025_03_27_19_22_55_Seattle_Mariners_56_Randy_Arozarena_Home,SEA,mlb,Batting,RTX_4000_Ada,462.5,0,true,1425920,2026-02-04 11:24:20
2025_03_27_19_32_26_Seattle_Mariners_7_Jorge_Polanco_Home,SEA,mlb,Batting,RTX_4000_Ada,499.5,0,true,1490944,2026-02-04 11:32:40
2025_03_27_21_12_10_Seattle_Mariners_20_Luke_Raley_Home,SEA,mlb,Batting,RTX_4000_Ada,501.1,0,true,1256448,2026-02-04 11:41:01
2025_03_27_21_19_38_Seattle_Mariners_23_Rowdy_Tellez_Home,SEA,mlb,Batting,RTX_4000_Ada,463.5,0,true,1256448,2026-02-04 11:48:44
2025_03_27_21_20_46_Seattle_Mariners_1_Ryan_Bliss_Home,SEA,mlb,Batting,RTX_4000_Ada,470.9,0,true,1256448,2026-02-04 11:56:35
2025_04_06_14_52_25_New_York_Mets_23_David_Peterson_Home,unknown,unknown,unknown,RTX_4000_Ada,109.0,139,true,3494400,2026-02-04 11:58:24
2025_04_06_15_23_06_Toronto_Blue_Jays_44_Bowden_Francis_Home,unknown,unknown,unknown,RTX_4000_Ada,126.8,139,true,4384768,2026-02-04 12:00:31
2025_04_06_15_29_11_Toronto_Blue_Jays_57_Chad_Green_Home,unknown,unknown,unknown,RTX_4000_Ada,96.2,139,true,2675712,2026-02-04 12:02:07
2025_04_06_15_51_17_New_York_Mets_33_AJ_Minter_Home,unknown,unknown,unknown,RTX_4000_Ada,120.5,139,true,4423168,2026-02-04 12:04:08
2025_04_08_12_45_06_Appalachian_State_Baseball_37_Caleb_Cross_Home,APP,collegiate,Pitching,RTX_4000_Ada,81.1,139,false,0,2026-02-04 12:05:29
2025_04_08_12_45_42_Appalachian_State_Baseball_37_Caleb_Cross_Home,APP,collegiate,Pitching,RTX_4000_Ada,69.3,139,false,0,2026-02-04 12:06:38
2025_04_08_12_49_00_Appalachian_State_Baseball_37_Caleb_Cross_Home,APP,collegiate,Pitching,RTX_4000_Ada,71.4,139,true,2383872,2026-02-04 12:07:50
2025_04_08_12_50_12_Appalachian_State_Baseball_37_Caleb_Cross_Home,APP,collegiate,Pitching,RTX_4000_Ada,77.3,139,false,1536,2026-02-04 12:09:07
2025_04_22_15_34_22_Boston_Red_Sox_50_Kutter_Crawford_Home,unknown,unknown,unknown,RTX_4000_Ada,62.6,139,true,1101824,2026-02-04 12:10:10
2025_04_22_15_40_47_Boston_Red_Sox_50_Kutter_Crawford_Home,unknown,unknown,unknown,RTX_4000_Ada,146.6,139,true,1100288,2026-02-04 12:12:36
2025_04_22_15_41_13_Boston_Red_Sox_50_Kutter_Crawford_Home,unknown,unknown,unknown,RTX_4000_Ada,132.4,139,true,1061888,2026-02-04 12:14:49
2025_04_22_15_43_06_Boston_Red_Sox_50_Kutter_Crawford_Home,unknown,unknown,unknown,RTX_4000_Ada,81.4,139,true,1610752,2026-02-04 12:16:10
2025_05_04_15_35_32_Rocket_City_Trash_Pandas__17_Joel_Hurtado_Away,unknown,unknown,unknown,RTX_4000_Ada,156.1,139,true,1138688,2026-02-04 12:18:46
2025_05_04_16_17_20_Rocket_City_Trash_Pandas__17_Joel_Hurtado_Away,unknown,unknown,unknown,RTX_4000_Ada,165.9,139,true,1129472,2026-02-04 12:21:32
2025_05_04_17_25_13_Rocket_City_Trash_Pandas__21_Camden_Minacci_Away,unknown,unknown,unknown,RTX_4000_Ada,178.9,139,true,1063424,2026-02-04 12:24:31
2025_05_12_11_42_57_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,91.8,139,true,1232384,2026-02-04 12:26:03
2025_05_12_11_57_10_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,69.1,139,true,1272832,2026-02-04 12:27:12
2025_05_12_11_57_29_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,52.0,139,true,999424,2026-02-04 12:28:04
2025_05_16_20_34_05_Philadelphia_Phillies_55_Ranger_Suarez_ALT3,unknown,unknown,unknown,RTX_4000_Ada,158.0,139,true,1533440,2026-02-04 12:30:42
2025_05_16_20_50_26_Philadelphia_Phillies_55_Ranger_Suarez_ALT3,unknown,unknown,unknown,RTX_4000_Ada,1.5,139,true,1303552,2026-02-04 12:30:43
2025_05_16_21_30_42_Pittsburgh_Pirates_45_Andrew_Heaney_Away,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1511936,2026-02-04 12:30:45
2025_05_16_23_16_39_Philadelphia_Phillies_48_Daniel_Robert_ALT3,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1328128,2026-02-04 12:30:46
2025_06_19_13_15_22_Minnesota_Twins_20_Chris_Paddack_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1406976,2026-02-04 12:30:47
2025_06_19_13_38_24_Minnesota_Twins_20_Chris_Paddack_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1129472,2026-02-04 12:30:49
2025_06_19_15_06_11_Minnesota_Twins_54_Danny_Coulombe_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1052672,2026-02-04 12:30:50
2025_06_19_15_16_24_Cincinnati_Reds_62_Luis_Mey_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,914944,2026-02-04 12:30:51
2025_08_30_12_19_11_Appalachian_State_Baseball_0_Tellis_Bumgarner_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1379328,2026-02-04 12:30:53
2025_08_30_12_20_12_Appalachian_State_Baseball_0_Tellis_Bumgarner_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1388544,2026-02-04 12:30:54
2025_08_30_12_21_02_Appalachian_State_Baseball_0_Tellis_Bumgarner_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1464320,2026-02-04 12:30:55
2025_09_26_20_13_21_Cleveland_Guardians_44_Slade_Cecconi_Away,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1144320,2026-02-04 12:30:56
2024_03_30_13_07_47_University_of_Arizona_38_Cam_Walty_Home,PIT,mlb,Pitching,RTX_4000_Ada,1051.1,1,false,1536,2026-02-04 12:48:42
2024_03_30_13_27_25_UCLA_Bruins_19_Landon_Stump_Away,PIT,mlb,Pitching,RTX_4000_Ada,435.0,1,true,980992,2026-02-04 12:55:57
2024_03_30_15_50_18_University_of_Arizona_51_Trevor_Long_Home,PIT,mlb,Pitching,RTX_4000_Ada,448.5,1,true,1241600,2026-02-04 13:03:25
2024_03_30_16_31_32_UCLA_Bruins_50_Rashad_Ruff_Away,PIT,mlb,Pitching,RTX_4000_Ada,572.2,1,true,1922560,2026-02-04 13:12:58
2024_04_29_19_13_34_Oakland_Athletics_35_Joe_Boyle_Home,OAK,mlb,Pitching,RTX_4000_Ada,523.8,0,true,1047040,2026-02-04 13:21:41
2024_04_29_19_32_18_Oakland_Athletics_35_Joe_Boyle_Home,OAK,mlb,Pitching,RTX_4000_Ada,562.7,0,true,1013760,2026-02-04 13:31:04
2024_04_29_20_09_08_Pittsburgh_Pirates_59_Roansy_Contreras_Away,OAK,mlb,Pitching,RTX_4000_Ada,740.5,0,true,1411584,2026-02-04 13:43:25
2024_04_29_20_19_04_Oakland_Athletics_56_Dany_Jimenez_Home,OAK,mlb,Pitching,RTX_4000_Ada,553.8,0,true,1006592,2026-02-04 13:52:38
2025_01_30_16_16_14_Rice_Pitching_Lab_30_Jake_Mader-Cooper_Home,RUP,collegiate,Pitching,RTX_4000_Ada,415.7,1,true,2223104,2026-02-04 13:59:34
2025_01_30_16_16_30_Rice_Pitching_Lab_30_Jake_Mader-Cooper_Home,RUP,collegiate,Pitching,RTX_4000_Ada,372.4,1,true,1339392,2026-02-04 14:05:47
2025_03_02_11_54_03_Oregon_State_Beavers_24_Ethan_Kleinschmit_Home,unknown,unknown,unknown,RTX_4000_Ada,1.5,139,true,949760,2026-02-04 14:05:48
2025_03_02_12_13_55_Oregon_State_Beavers_24_Ethan_Kleinschmit_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1354752,2026-02-04 14:05:49
2025_03_02_13_50_03_Oregon_State_Beavers_50_Zach_Edwards_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1047040,2026-02-04 14:05:51
2025_03_02_14_19_45_Ohio_State_Buckeyes_25_Luke_Carrell_Home,unknown,unknown,unknown,RTX_4000_Ada,1.2,139,true,1369088,2026-02-04 14:05:52
2025_03_24_14_52_53_Seattle_Mariners_Background,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:05:52
2025_03_24_14_53_46_Seattle_Mariners_Background,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:05:52
2025_03_24_15_16_52_Seattle_Mariners_Background,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:05:52
2025_03_24_15_19_59_Seattle_Mariners_Background,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:05:52
2025_03_24_15_29_18_Seattle_Mariners_Background,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:05:52
2025_03_24_15_34_17_Seattle_Mariners_Background,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:05:52
2025_03_24_15_35_29_Seattle_Mariners_Background,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:05:52
2025_03_26_17_13_57_Tampa_Bay_Rays_57_Drew_Rasmussen_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,2372608,2026-02-04 14:05:53
2025_03_26_17_27_16_Tampa_Bay_Rays_39_Manuel_Rodriguez_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1526272,2026-02-04 14:05:55
2025_03_26_17_50_51_Tampa_Bay_Rays_11_Shane_Baz_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1074688,2026-02-04 14:05:56
2025_03_26_18_06_27_Tampa_Bay_Rays_11_Shane_Baz_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1204736,2026-02-04 14:05:57
2025_04_06_14_52_25_New_York_Mets_23_David_Peterson_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,3494400,2026-02-04 14:05:59
2025_04_06_15_23_06_Toronto_Blue_Jays_44_Bowden_Francis_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,4384768,2026-02-04 14:06:00
2025_04_06_15_29_11_Toronto_Blue_Jays_57_Chad_Green_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,2675712,2026-02-04 14:06:01
2025_04_06_15_51_17_New_York_Mets_33_AJ_Minter_Home,unknown,unknown,unknown,RTX_4000_Ada,1.2,139,true,4423168,2026-02-04 14:06:03
2025_04_08_12_45_06_Appalachian_State_Baseball_37_Caleb_Cross_Home,APP,collegiate,Pitching,RTX_4000_Ada,647.8,0,false,0,2026-02-04 14:16:50
2025_04_08_12_45_42_Appalachian_State_Baseball_37_Caleb_Cross_Home,APP,collegiate,Pitching,RTX_4000_Ada,632.3,0,false,0,2026-02-04 14:27:23
2025_04_08_12_49_00_Appalachian_State_Baseball_37_Caleb_Cross_Home,APP,collegiate,Pitching,RTX_4000_Ada,716.8,0,true,2383872,2026-02-04 14:39:20
2025_04_08_12_50_12_Appalachian_State_Baseball_37_Caleb_Cross_Home,APP,collegiate,Pitching,RTX_4000_Ada,187.4,1,false,1536,2026-02-04 14:42:27
2025_04_22_15_34_22_Boston_Red_Sox_50_Kutter_Crawford_Home,unknown,unknown,unknown,RTX_4000_Ada,1.5,139,true,1101824,2026-02-04 14:42:28
2025_04_22_15_40_47_Boston_Red_Sox_50_Kutter_Crawford_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1100288,2026-02-04 14:42:30
2025_04_22_15_41_13_Boston_Red_Sox_50_Kutter_Crawford_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1061888,2026-02-04 14:42:31
2025_04_22_15_43_06_Boston_Red_Sox_50_Kutter_Crawford_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1610752,2026-02-04 14:42:33
2025_04_30_20_52_42_Kansas_City_Royals_13_Salvador_Perez_Away,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,0,2026-02-04 14:42:33
2025_05_04_15_07_53_Knoxville_Smokies_27_Antonio_Santos_Home,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:42:33
2025_05_04_15_35_32_Rocket_City_Trash_Pandas__17_Joel_Hurtado_Away,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1138688,2026-02-04 14:42:34
2025_05_04_16_17_20_Rocket_City_Trash_Pandas__17_Joel_Hurtado_Away,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1129472,2026-02-04 14:42:35
2025_05_04_17_25_13_Rocket_City_Trash_Pandas__21_Camden_Minacci_Away,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1063424,2026-02-04 14:42:37
2025_05_12_11_40_44_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:42:37
2025_05_12_11_42_57_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1232384,2026-02-04 14:42:38
2025_05_12_11_46_50_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:42:38
2025_05_12_11_56_16_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:42:38
2025_05_12_11_57_10_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1272832,2026-02-04 14:42:39
2025_05_12_11_57_29_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,999424,2026-02-04 14:42:41
2025_05_12_11_58_57_Boston_Red_Sox_80_Richard_Fitts_Home,unknown,unknown,unknown,RTX_4000_Ada,0,-1,false,1536,2026-02-04 14:42:41
2025_05_16_20_34_05_Philadelphia_Phillies_55_Ranger_Suarez_ALT3,unknown,unknown,unknown,RTX_4000_Ada,1.5,139,true,1533440,2026-02-04 14:42:42
2025_05_16_20_50_26_Philadelphia_Phillies_55_Ranger_Suarez_ALT3,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1303552,2026-02-04 14:42:44
2025_05_16_21_30_42_Pittsburgh_Pirates_45_Andrew_Heaney_Away,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1511936,2026-02-04 14:42:45
2025_05_16_23_16_39_Philadelphia_Phillies_48_Daniel_Robert_ALT3,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1328128,2026-02-04 14:42:46
2025_06_19_13_15_22_Minnesota_Twins_20_Chris_Paddack_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1406976,2026-02-04 14:42:47
2025_06_19_13_38_24_Minnesota_Twins_20_Chris_Paddack_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1129472,2026-02-04 14:42:49
2025_06_19_15_06_11_Minnesota_Twins_54_Danny_Coulombe_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1052672,2026-02-04 14:42:50
2025_06_19_15_16_24_Cincinnati_Reds_62_Luis_Mey_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,914944,2026-02-04 14:42:51
2025_08_30_12_19_11_Appalachian_State_Baseball_0_Tellis_Bumgarner_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1379328,2026-02-04 14:42:53
2025_08_30_12_20_12_Appalachian_State_Baseball_0_Tellis_Bumgarner_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1388544,2026-02-04 14:42:54
2025_08_30_12_21_02_Appalachian_State_Baseball_0_Tellis_Bumgarner_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1464320,2026-02-04 14:42:55
2025_09_26_20_13_21_Cleveland_Guardians_44_Slade_Cecconi_Away,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1144320,2026-02-04 14:42:57
2025_09_26_20_26_25_Texas_Rangers_35_Jack_Leiter_Away,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1140736,2026-02-04 14:42:58
2025_09_26_20_59_36_Cleveland_Guardians_52_Matt_Festa_Away,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1318912,2026-02-04 14:43:00
